Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
IGTI3;2,81;10,44;1,29;4,278;2,00%;0,600;2,82;7,25;-2,46;10,21;8,54;58,99%;40,97%;3,67;10,10%;12,38%;103.451,00;4.514.230.000,00;0,91;16,16%
KLBN11;17,66;10,45;2,14;1,071;6,15%;0,362;2,74;4,42;-0,69;10,07;5,24;24,23%;11,31%;2,11;10,19%;20,50%;91.242.600,00;10.192.500.000,00;3,53;7,81%
KLBN4;3,54;10,47;2,15;1,074;6,14%;0,363;2,74;4,43;-0,69;10,08;5,24;24,23%;11,31%;2,11;10,19%;20,50%;10.217.100,00;10.192.500.000,00;3,53;7,81%
KLBN3;3,55;10,50;2,15;1,077;6,12%;0,364;2,75;4,44;-0,69;10,09;5,25;24,23%;11,31%;2,11;10,19%;20,50%;2.090.630,00;10.192.500.000,00;3,53;7,81%
WEGE4;16,10;10,54;3,04;1,650;0,00%;1,696;6,12;7,55;7,85;7,20;6,53;21,86%;16,50%;1,77;28,63%;28,86%;0,00;22.215.900.000,00;0,12;17,60%
BMGB11;33,60;10,68;1,31;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,30%;0,00;3.731.050.000,00;0,00;-1,37%
TRFO4;4,70;10,70;2,68;0,835;0,00%;1,078;4,82;5,73;7,65;5,33;5,33;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%
MULT3;27,10;10,78;2,36;5,148;5,05%;1,130;32,66;7,32;-3,03;9,63;8,96;70,33%;47,78%;1,31;16,71%;21,85%;95.994.900,00;5.905.050.000,00;0,87;24,62%
SMLS3;22,40;10,78;4,09;4,212;0,00%;1,017;18,78;10,37;-6,72;10,13;9,06;40,62%;39,07%;1,10;10,69%;37,96%;0,00;679.678.000,00;0,00;-22,20%
BRBI11;18,60;10,82;2,42;5,549;11,13%;0,126;2,96;133,74;2,96;46,35;29,24;4,15%;51,30%;1,04;8,69%;22,37%;4.870.450,00;807.141.000,00;17,39;-39,84%
BESP4;344,00;10,82;2,57;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%
YDUQ3;11,83;10,86;1,07;0,596;4,82%;0,340;6,52;3,82;-0,76;9,10;4,65;15,63%;5,47%;1,28;9,98%;9,82%;46.615.500,00;3.041.060.000,00;1,74;7,20%
GGBR4;17,67;10,88;0,65;0,515;3,74%;0,410;1,63;5,61;22,56;7,05;4,57;9,17%;4,78%;2,89;8,77%;5,95%;159.083.000,00;54.923.000.000,00;0,33;-0,49%
EGIE3;40,26;10,92;2,67;2,759;5,13%;0,616;12,61;6,03;-1,06;9,96;8,14;45,78%;26,38%;1,42;11,63%;24,44%;47.116.500,00;12.309.500.000,00;2,20;-3,62%
MATD3;4,25;10,92;0,98;0,674;1,79%;0,327;1,40;4,34;-1,04;6,64;4,98;15,53%;6,46%;3,09;9,14%;8,94%;1.091.520,00;1.451.790.000,00;0,96;16,51%
